id;nome;Municipio;Classificação autora;UF;decimallon;decimallat
865;SC-CH-51;Chapecó;Proto_Je;SC;-52.75149947;-27.24368777
866;SC-CH-90;Chapecó;Proto_Je;SC;-52.75136948;-27.23538564
867;SC-CH-117;Chapecó;Proto_Je;SC;-52.75053299;-27.25290619
868;SC-CH-135;Chapecó;Proto_Je;SC;-52.75050935;-27.25462139
869;SC-CH-105;Chapecó;Proto_Je;SC;-52.75014608;-27.2365743
870;SC-CH-114;Chapecó;Proto_Je;SC;-52.74997686;-27.25092746
871;SC-CH-47;Chapecó;Proto_Je;SC;-52.74973623;-27.24587602
872;SC-CH-179;Chapecó;Proto_Je;SC;-52.74956989;-27.21715789
873;SC-CH-136;Chapecó;Proto_Je;SC;-52.74933807;-27.25463603
874;SC-CH-65;Chapecó;Proto_Je;SC;-52.74924008;-27.23739794
875;SC-CH-180;Chapecó;Proto_Je;SC;-52.74909502;-27.21842744
876;SC-CH-59;Chapecó;Proto_Je;SC;-52.74843229;-27.24192095
877;SC-CH-188;Chapecó;Proto_Je;SC;-52.74827565;-27.22931381
878;SC-CH-89;Chapecó;Proto_Je;SC;-52.74806238;-27.23569774
879;SC-CH-98;Chapecó;Proto_Je;SC;-52.74802674;-27.23858646
880;SC-CH-102;Chapecó;Proto_Je;SC;-52.7479321;-27.23705325
881;SC-CH-178;Chapecó;Proto_Je;SC;-52.7477391;-27.21693705
882;SC-CH-45;Chapecó;Proto_Je;SC;-52.74744411;-27.24653646
883;SC-CH-66;Chapecó;Proto_Je;SC;-52.74709675;-27.237876
884;SC-CH-54;Chapecó;Proto_Je;SC;-52.74701392;-27.2435633
885;SC-CH-62;Chapecó;Proto_Je;SC;-52.74624261;-27.23878924
886;SC-CH-48;Chapecó;Proto_Je;SC;-52.74589583;-27.24827068
887;SC-CH-44;Chapecó;Proto_Je;SC;-52.74576081;-27.24285687
888;SC-CH-132;Chapecó;Proto_Je;SC;-52.74557532;-27.249087
889;SC-CH-131;Chapecó;Proto_Je;SC;-52.74513411;-27.24864122
890;SC-CH-46;Chapecó;Proto_Je;SC;-52.74510714;-27.24367735
891;SC-CH-58;Chapecó;Proto_Je;SC;-52.74509354;-27.24151131
892;SC-CH-39;Chapecó;Proto_Je;SC;-52.74477867;-27.2426886
893;SC-CH-64;Chapecó;Proto_Je;SC;-52.74464208;-27.23781635
894;SC-CH-186;Chapecó;Proto_Je;SC;-52.74460137;-27.22678727
895;SC-CH-56;Chapecó;Proto_Je;SC;-52.74459662;-27.23231115
896;SC-CH-187;Chapecó;Proto_Je;SC;-52.74456058;-27.22417028
897;SC-CH-87;Chapecó;Proto_Je;SC;-52.7441972;-27.23583621
898;SC-CH-55;Chapecó;Proto_Je;SC;-52.7437146;-27.24179927
899;SC-CH-85;Chapecó;Proto_Je;SC;-52.7437098;-27.23566176
